ai_document,sim_to_orig,sim_to_wiki,difference,closer_to,top1_orig,top1_orig_sim,top1_wiki,top1_wiki_sim
1957_Grimm_Copilot_Podehl_Der_Wolf_und_die_sieben_Geißlein.txt,0.2168,0.2676,-0.0508,Wikipedia,1857_Grimm_Original_Grimm_Der_Wolf_und_die_sieben_jungen_Geißlein.txt,0.625,1957_Grimm_Wikipedia_Podehl_Der_Wolf_und_die_sieben_Geißlein.txt,0.723
2014_Grimm_Copilot_Ungureit_Sechse_kommen_durch_die_ganze_Welt.txt,0.2008,0.2586,-0.0577,Wikipedia,–,,2014_Grimm_Wikipedia_Ungereit_Sechse_kommen_durch_die_ganze_Welt.txt,0.781
1971_Grimm_Copilot_Kachlik_Prinz_Bajaja.txt,0.2472,0.3049,-0.0578,Wikipedia,–,,1971_Grimm_Wikipedia_Kachlik_Prinz_Bajaja.txt,0.624
1979_Grimm_Copilot_Hartmann_Schneeweißchen_und_Rosenrot.txt,0.2469,0.3066,-0.0597,Wikipedia,1857_Grimm_Original_Grimm_Schneeweißchen_und_Rosenroth.txt,0.472,2012_Grimm_Wikipedia_Giordano_Schneeweißchen_und_Rosenrot.txt,0.519
2013_Grimm_Copilot_Wirkola_Hänsel_und_Gretel_Hexenjäger.txt,0.2062,0.2761,-0.0699,Wikipedia,1857_Grimm_Original_Grimm_Hänsel_und_Grethel.txt,0.428,2013_Grimm_Wikipedia_Wirkola_Hänsel_und_Gretel_Hexenjäger.txt,0.794
2012_Grimm_Copilot_Giordano_Schneeweißchen_und_Rosenrot.txt,0.2214,0.2927,-0.0713,Wikipedia,1857_Grimm_Original_Grimm_Schneeweißchen_und_Rosenroth.txt,0.561,2012_Grimm_Wikipedia_Giordano_Schneeweißchen_und_Rosenrot.txt,0.747
2021_Grimm_Copilot_Schönberger_Der_Geist_im_Glas.txt,0.1941,0.2657,-0.0716,Wikipedia,1857_Grimm_Original_Grimm_Der_Geist_im_Glas.txt,0.499,2021_Grimm_Wikipedia_Schönberger_Der_Geist_im_Glas.txt,0.767
2015_Grimm_Copilot_Prendes_Hänsel_Vs_Gretel.txt,0.2096,0.2849,-0.0753,Wikipedia,1857_Grimm_Original_Grimm_Hänsel_und_Grethel.txt,0.36,2015_Grimm_Wikipedia_Prendes_Hänsel_Vs_Gretel.txt,0.777
2010_Grimm_Copilot_Janis_Aschenputtel.txt,0.2034,0.2806,-0.0772,Wikipedia,1857_Grimm_Original_Grimm_Aschenputtel.txt,0.474,2010_Grimm_Wikipedia_Janis_Aschenputtel.txt,0.738
1962_Grimm_Copilot_Rodenberg_Rotkäppchen.txt,0.1729,0.2552,-0.0823,Wikipedia,1857_Grimm_Original_Grimm_Rothkäppchen.txt,0.457,1962_Grimm_Wikipedia_Rodenberg_Rotkäppchen.txt,0.676
2011_Grimm_Copilot_Winkler_Jorinde_und_Joringel.txt,0.1857,0.268,-0.0823,Wikipedia,1857_Grimm_Original_Grimm_Jorinde_und_Joringel.txt,0.55,2011_Grimm_Wikipedia_Winkler_Jorinde_und_Joringel.txt,0.799
2008_Grimm_Copilot_Kömmerling_König_Drosselbart.txt,0.2065,0.3033,-0.0968,Wikipedia,1812_Grimm_Original_Grimm_König_Drosselbart.txt,0.424,2008_Grimm_Wikipedia_Kömmerling_König_Drosselbart.txt,0.655
2025_Grimm_Copilot_Blichfeldt_The_Ugly_Stepsister.txt,0.1978,0.2953,-0.0975,Wikipedia,1857_Grimm_Original_Grimm_Aschenputtel.txt,0.384,2025_Grimm_Wikipedia_Blichfeldt_The_Ugly_Stepsister.txt,0.786
2018_Grimm_Copilot_Esser_Schneeweißchen_und_Rosenrot.txt,0.1892,0.3105,-0.1213,Wikipedia,1857_Grimm_Original_Grimm_Schneeweißchen_und_Rosenroth.txt,0.371,2018_Grimm_Wikipedia_Esser_Schneeweißchen_und_Rosenrot.txt,0.772
