Token,EmotionCount,Emotions
kannte,4,"grief, neutral, realization, sadness"
blume,4,"admiration, approval, curiosity, neutral"
wieviel,2,"curiosity, neutral"
betrachtet,2,"admiration, neutral"
steckte,5,"disappointment, embarrassment, fear, neutral, realization"
schönste,3,"admiration, confusion, neutral"
senkte,2,"curiosity, neutral"
gedanken,4,"disappointment, fear, neutral, realization"
beisammen,2,"desire, neutral"
suchte,4,"disappointment, fear, love, neutral"
ach,9,"admiration, annoyance, approval, curiosity, desire, disappointment, neutral, sadness, surprise"
rosenstrauch,2,"admiration, neutral"
verschwunden,3,"neutral, realization, sadness"
schoß,2,"neutral, surprise"
empor,2,"neutral, sadness"
umarmte,3,"approval, love, neutral"
gedachte,4,"admiration, fear, love, neutral"
herrlichen,4,"admiration, annoyance, gratitude, neutral"
träumte,4,"admiration, desire, joy, neutral"
eigenes,4,"admiration, disgust, joy, neutral"
bum,3,"anger, neutral, surprise"
mantel,4,"admiration, desire, neutral, optimism"
flammen,2,"love, neutral"
stärker,5,"approval, love, neutral, sadness, surprise"
körper,7,"admiration, amusement, approval, disappointment, nervousness, neutral, sadness"
verstehe,2,"confusion, neutral"
durchaus,4,"annoyance, embarrassment, neutral, realization"
winde,2,"admiration, neutral"
blatt,3,"love, neutral, realization"
zweigen,2,"admiration, neutral"
schwebt,2,"neutral, sadness"
leichter,2,"anger, neutral"
prächtige,4,"admiration, neutral, sadness, surprise"
meinst,2,"gratitude, neutral"
spreche,2,"admiration, neutral"
erwiderte,4,"annoyance, approval, disapproval, neutral"
schaukel,2,"disgust, neutral"
blasen,2,"admiration, neutral"
leicht,3,"admiration, approval, neutral"
elfen,2,"amusement, neutral"
menschenkinder,2,"fear, neutral"
duft,3,"admiration, annoyance, neutral"
glitten,3,"joy, love, neutral"
schwebende,2,"admiration, neutral"
leichen,2,"anger, neutral"
nein,8,"admiration, amusement, annoyance, disappointment, disapproval, disgust, neutral, surprise"
klang,3,"admiration, disgust, neutral"
läuten,2,"admiration, neutral"
butterblume,3,"admiration, curiosity, neutral"
helle,3,"admiration, caring, neutral"
sage,2,"approval, neutral"
weißt,4,"admiration, curiosity, neutral, sadness"
gelbe,2,"curiosity, neutral"
sonnenstrahlen,2,"joy, neutral"
munde,2,"joy, neutral"
grunde,5,"admiration, annoyance, joy, neutral, realization"
morgenstunde,2,"joy, neutral"
seufzte,7,"approval, disappointment, disgust, embarrassment, fear, joy, neutral"
gewiß,5,"admiration, annoyance, approval, neutral, realization"
komme,4,"curiosity, disapproval, joy, neutral"
bescheid,3,"disapproval, joy, neutral"
pfingstlilie,2,"curiosity, neutral"
bein,4,"admiration, disappointment, neutral, sadness"
teetopf,2,"admiration, neutral"
hals,6,"admiration, amusement, disappointment, fear, joy, neutral"
weißer,2,"admiration, neutral"
stiele,2,"admiration, neutral"
drückte,3,"admiration, anger, neutral"
ruhen,3,"admiration, annoyance, neutral"
trug,7,"admiration, caring, desire, grief, love, neutral, optimism"
früchte,2,"curiosity, neutral"
zogen,3,"disgust, fear, neutral"
vierte,2,"amusement, neutral"
mußte,8,"admiration, amusement, disgust, embarrassment, fear, gratitude, joy, neutral"
ausruhen,2,"fear, neutral"
hüpfte,3,"admiration, disgust, neutral"
ruhig,3,"admiration, fear, neutral"
verstand,3,"admiration, love, neutral"
fühlte,10,"admiration, annoyance, approval, embarrassment, fear, nervousness, neutral, pride, realization, sadness"
gedrückt,3,"nervousness, neutral, sadness"
gelernt,3,"admiration, neutral, realization"
verheiraten,2,"admiration, neutral"
bloß,2,"admiration, neutral"
vornehm,2,"admiration, neutral"
langweilig,4,"annoyance, disappointment, love, neutral"
hörten,3,"amusement, joy, neutral"
vergnügt,3,"love, neutral, surprise"
leiden,5,"admiration, annoyance, disapproval, neutral, sadness"
neulich,2,"excitement, neutral"
schlosse,6,"admiration, caring, curiosity, desire, joy, neutral"
zeitungen,2,"admiration, neutral"
kamen,5,"amusement, curiosity, disgust, neutral, sadness"
lesen,2,"admiration, neutral"
manne,3,"admiration, disapproval, neutral"
schloß,8,"admiration, approval, curiosity, disapproval, fear, neutral, sadness, surprise"
schloßtor,2,"love, neutral"
traten,2,"admiration, neutral"
lakaien,2,"love, neutral"
säle,4,"admiration, curiosity, neutral, sadness"
verwirrt,2,"confusion, neutral"
throne,2,"admiration, neutral"
gesprochen,2,"admiration, neutral"
lust,5,"admiration, desire, joy, neutral, surprise"
magen,2,"admiration, neutral"
gefallen,4,"admiration, curiosity, joy, neutral"
klügsten,2,"approval, neutral"
wann,2,"neutral, optimism"
jubelte,3,"amusement, joy, neutral"
klatschte,3,"admiration, joy, neutral"
glänzten,4,"admiration, disgust, joy, neutral"
lichtern,2,"amusement, neutral"
gingen,4,"admiration, amusement, neutral, realization"
bloßen,2,"disgust, neutral"
frischen,5,"admiration, anger, gratitude, joy, neutral"
diener,3,"disgust, neutral, pride"
ringsherum,2,"admiration, neutral"
burschen,2,"neutral, pride"
aufgestellt,2,"admiration, neutral"
türe,2,"neutral, sadness"
desto,2,"admiration, neutral"
muß,12,"admiration, annoyance, approval, caring, desire, fear, gratitude, joy, love, neutral, realization, sadness"
niedlich,3,"admiration, neutral, remorse"
freien,2,"admiration, neutral"
fand,6,"anger, caring, curiosity, joy, love, neutral"
klug,3,"admiration, approval, neutral"
wackelte,3,"admiration, amusement, neutral"
kopfe,5,"admiration, disgust, love, neutral, sadness"
kehrte,6,"amusement, annoyance, disappointment, fear, neutral, sadness"
brot,2,"neutral, realization"
sollst,6,"admiration, anger, annoyance, curiosity, disapproval, neutral"
böses,3,"fear, neutral, realization"
treppe,2,"love, neutral"
brannte,4,"admiration, disgust, love, neutral"
lampe,2,"neutral, realization"
fußboden,5,"admiration, disapproval, neutral, sadness, surprise"
ginge,2,"amusement, neutral"
schatten,5,"admiration, approval, disappointment, neutral, realization"
beinen,2,"amusement, neutral"
herren,2,"admiration, neutral"
damen,2,"admiration, neutral"
walde,4,"admiration, love, neutral, sadness"
saal,2,"disgust, neutral"
sausten,2,"neutral, sadness"
bekam,8,"admiration, amusement, approval, curiosity, fear, joy, neutral, sadness"
glich,3,"admiration, disgust, neutral"
stengel,3,"admiration, disgust, neutral"
bog,2,"curiosity, neutral"
blätter,2,"admiration, neutral"
nacken,3,"admiration, nervousness, neutral"
erwachte,5,"admiration, confusion, neutral, realization, sadness"
blinzelte,2,"disappointment, neutral"
sollten,3,"admiration, curiosity, neutral"
baten,2,"admiration, neutral"
feste,3,"curiosity, nervousness, neutral"
bette,3,"approval, caring, neutral"
faltete,2,"gratitude, neutral"
seide,2,"admiration, neutral"
bat,8,"admiration, amusement, caring, fear, love, neutral, realization, sadness"
erhielt,3,"excitement, neutral, realization"
muff,2,"admiration, neutral"
stern,3,"admiration, fear, neutral"
kutscher,2,"disgust, neutral"
vorreiter,2,"disgust, neutral"
begleitete,2,"admiration, neutral"
meilen,2,"fear, neutral"
vertragen,2,"amusement, neutral"
gefüttert,2,"admiration, neutral"
lebe,4,"admiration, caring, gratitude, neutral"
riefen,4,"admiration, disgust, joy, neutral"
lebewohl,4,"annoyance, caring, neutral, sadness"
flügeln,3,"admiration, nervousness, neutral"
fünfte,2,"admiration, neutral"
dunklen,2,"gratitude, neutral"
gleicher,2,"admiration, neutral"
wild,3,"admiration, anger, neutral"
unartig,2,"neutral, surprise"
gebissen,2,"disgust, neutral"
warm,6,"admiration, approval, gratitude, joy, love, neutral"
offenen,3,"desire, joy, neutral"
bullenbeißer,3,"admiration, disgust, neutral"
sprangen,4,"admiration, amusement, joy, neutral"
suppe,2,"disappointment, neutral"
kochte,2,"admiration, neutral"
gebraten,2,"curiosity, neutral"
teppiche,2,"approval, neutral"
schienen,3,"admiration, joy, neutral"
fliegen,5,"admiration, curiosity, disapproval, disgust, neutral"
kupfernen,2,"admiration, neutral"
ring,2,"neutral, sadness"
weshalb,3,"curiosity, fear, neutral"
vorn,2,"admiration, neutral"
legte,6,"admiration, caring, confusion, curiosity, fear, neutral"
tranken,2,"excitement, neutral"
reiste,4,"curiosity, disappointment, neutral, sadness"
mußt,6,"admiration, annoyance, approval, caring, love, neutral"
einerlei,2,"joy, neutral"
funkelten,2,"disgust, neutral"
höre,5,"annoyance, approval, curiosity, neutral, sadness"
siehst,7,"admiration, annoyance, approval, curiosity, disapproval, excitement, neutral"
mittag,2,"admiration, neutral"
flasche,2,"joy, neutral"
kannst,9,"admiration, amusement, anger, approval, curiosity, disapproval, love, neutral, optimism"
hochauf,2,"admiration, neutral"
krieche,2,"anger, neutral"
häßliche,5,"annoyance, disappointment, disgust, joy, neutral"
gebunden,2,"disgust, neutral"
öffnete,5,"admiration, amusement, joy, love, neutral"
scharfen,4,"fear, joy, neutral, sadness"
laufe,2,"neutral, realization"
streckte,4,"admiration, disgust, fear, neutral"
steppen,2,"love, neutral"
leuchten,2,"neutral, realization"
finnin,3,"admiration, amusement, neutral"
bauch,2,"amusement, neutral"
erschien,9,"admiration, amusement, anger, fear, joy, love, neutral, realization, surprise"
finnmarken,2,"neutral, sadness"
schreiben,2,"annoyance, neutral"
besser,9,"admiration, annoyance, approval, curiosity, embarrassment, fear, joy, neutral, optimism"
erwärmt,2,"approval, neutral"
worden,4,"approval, fear, neutral, surprise"
schrieb,2,"love, neutral"
achten,2,"disappointment, neutral"
brannten,3,"annoyance, neutral, sadness"
las,2,"admiration, neutral"
geschrieben,3,"admiration, curiosity, neutral"
schiffer,2,"admiration, neutral"
scharf,2,"curiosity, neutral"
zwölf-männer-kraft,2,"curiosity, neutral"
winkel,3,"disgust, joy, neutral"
freilich,7,"admiration, annoyance, approval, curiosity, desire, fear, neutral"
glaskörnchen,2,"admiration, neutral"
beeren,2,"approval, neutral"
hierher,3,"curiosity, love, neutral"
merkte,2,"neutral, realization"
schneidenden,2,"admiration, neutral"
wagte,3,"amusement, disappointment, neutral"
anzuhalten,2,"admiration, neutral"
backen,2,"joy, neutral"
hell,6,"admiration, desire, joy, love, neutral, surprise"
künstlich,4,"admiration, approval, love, neutral"
damals,5,"admiration, embarrassment, love, neutral, realization"
ausgesehen,2,"confusion, neutral"
schlangen,3,"amusement, disgust, neutral"
betete,4,"admiration, caring, love, neutral"
atem,2,"approval, neutral"
dichter,4,"admiration, excitement, neutral, realization"
engeln,3,"fear, love, neutral"
stachen,2,"anger, neutral"
stücke,3,"amusement, fear, neutral"
wände,3,"approval, neutral, optimism"
türen,3,"embarrassment, fear, neutral"
manieren,2,"approval, neutral"
höchsten,2,"admiration, neutral"
tausend,2,"admiration, neutral"
kunstwerk,2,"admiration, neutral"
schleppte,2,"anger, neutral"
scharfe,2,"neutral, sadness"
eisstücke,2,"admiration, neutral"
herausbringen,2,"embarrassment, neutral"
legen,2,"caring, neutral"
ewigkeit,2,"neutral, optimism"
schlittschuhe,3,"admiration, neutral, optimism"
hineinsehen,2,"approval, neutral"
erfroren,2,"joy, neutral"
geschah,2,"love, neutral"
erkannte,4,"admiration, amusement, neutral, realization"
brust,2,"admiration, neutral"
drangen,2,"annoyance, neutral"
sang,4,"admiration, desire, joy, neutral"
blüh'n,2,"excitement, neutral"
verwehen,3,"admiration, excitement, neutral"
christkindlein,3,"admiration, excitement, neutral"
brach,4,"disappointment, grief, joy, neutral"
wangen,4,"admiration, joy, love, neutral"
leuchteten,3,"admiration, fear, neutral"
mochte,4,"annoyance, disapproval, neutral, realization"
wartete,2,"disappointment, neutral"
junges,2,"neutral, realization"
genäht,2,"admiration, neutral"
grenze,2,"neutral, realization"
nahmen,6,"amusement, anger, disapproval, fear, joy, neutral"
vögel,5,"admiration, amusement, joy, love, neutral"
grüne,4,"admiration, curiosity, gratitude, neutral"
schöner,3,"admiration, neutral, sadness"
patron,2,"love, neutral"
klopfte,3,"fear, joy, neutral"
besuchen,2,"disappointment, neutral"
läuteten,2,"joy, neutral"
erkannten,3,"joy, neutral, sadness"
setzten,2,"joy, neutral"
leere,3,"admiration, disappointment, neutral"
werdet,2,"gratitude, neutral"
erwachsen,3,"admiration, neutral, realization"
erwartete,3,"disappointment, fear, neutral"
wirthin,3,"disgust, neutral, sadness"
unterhaltung,2,"neutral, realization"
fing,2,"neutral, sadness"
rede,3,"admiration, joy, neutral"
justizrath,5,"annoyance, approval, neutral, sadness, surprise"
's,6,"admiration, anger, excitement, neutral, realization, sadness"
worin,2,"curiosity, neutral"
unserm,3,"disappointment, neutral, realization"
zeitalter,2,"neutral, realization"
ankunft,3,"admiration, neutral, optimism"
zeitung,2,"curiosity, neutral"
werth,2,"admiration, neutral"
mäntel,2,"curiosity, neutral"
stöcke,2,"admiration, neutral"
begriff,2,"fear, neutral"
fein,2,"admiration, neutral"
schnitt,2,"neutral, sadness"
jüngste,4,"admiration, caring, disappointment, neutral"
unbedeutende,2,"neutral, surprise"
ausgeführt,2,"fear, neutral"
vornehmen,2,"admiration, neutral"
null,2,"annoyance, neutral"
__________,2,"amusement, neutral"
ernst,2,"admiration, neutral"
menschheit,2,"curiosity, neutral"
oststraße,3,"amusement, fear, neutral"
laternen,2,"amusement, neutral"
überdies,2,"annoyance, neutral"
ziemlich,2,"admiration, neutral"
dick,2,"admiration, neutral"
sodaß,3,"confusion, neutral, realization"
ganzer,2,"admiration, neutral"
artig,2,"admiration, neutral"
vornehmste,2,"admiration, neutral"
bischof,2,"curiosity, neutral"
linken,2,"neutral, realization"
brücke,2,"fear, neutral"
wassers,2,"admiration, neutral"
christianshafen,2,"neutral, sadness"
thun,4,"annoyance, curiosity, disgust, neutral"
droschke,2,"neutral, sadness"
königs-neumarkt,2,"disappointment, neutral"
büsche,3,"love, neutral, realization"
breiter,2,"admiration, neutral"
trank,6,"caring, curiosity, desire, fear, joy, neutral"
punsch,3,"amusement, fear, neutral"
erblicke,2,"neutral, realization"
offene,4,"admiration, fear, joy, neutral"
thüre,3,"joy, neutral, sadness"
spalte,2,"amusement, neutral"
redete,2,"neutral, sadness"
zunge,3,"caring, fear, neutral"
brachte,6,"admiration, annoyance, disappointment, love, neutral, sadness"
unwohl,2,"neutral, sadness"
holte,3,"neutral, realization, sadness"
kopenhagen,3,"disappointment, neutral, surprise"
meinte,5,"admiration, confusion, curiosity, embarrassment, neutral"
reichte,2,"admiration, neutral"
dergleichen,2,"caring, neutral"
entstehen,2,"desire, neutral"
erstaunt,2,"neutral, surprise"
miene,2,"fear, neutral"
seid,2,"curiosity, neutral"
höchst,3,"admiration, disgust, neutral"
baccalaureus,3,"disappointment, neutral, optimism"
heiligen,4,"caring, joy, neutral, realization"
alltagsgeschichten,2,"approval, neutral"
enthalten,2,"neutral, sadness"
gelesen,2,"admiration, neutral"
besonders,5,"admiration, approval, desire, neutral, sadness"
herrn,3,"desire, fear, neutral"
heiberg,2,"disapproval, neutral"
englischen,2,"disappointment, neutral"
stimmte,4,"approval, disappointment, neutral, realization"
buchdrucker,3,"curiosity, excitement, neutral"
dänemark,2,"curiosity, neutral"
aermel,2,"amusement, neutral"
gott,10,"admiration, curiosity, disappointment, fear, gratitude, joy, love, neutral, realization, surprise"
gäste,5,"amusement, annoyance, disgust, fear, neutral"
sollt,2,"excitement, neutral"
betrunken,2,"neutral, realization"
glaubten,3,"admiration, approval, neutral"
that,4,"admiration, fear, neutral, sadness"
ruf,2,"neutral, sadness"
bezauberung,2,"admiration, neutral"
deutlich,4,"joy, love, neutral, realization"
gebäude,2,"neutral, sadness"
pforte,2,"neutral, sadness"
wächter,4,"anger, curiosity, neutral, sadness"
wahrlich,5,"admiration, embarrassment, neutral, realization, sadness"
thür,2,"admiration, neutral"
übrigen,2,"approval, neutral"
dinger,2,"desire, neutral"
drollig,2,"annoyance, neutral"
warmes,2,"neutral, relief"
nieder,5,"admiration, amusement, love, neutral, sadness"
wirkten,2,"admiration, neutral"
fingern,2,"anger, neutral"
gedicht,2,"admiration, neutral"
gehabt,4,"disgust, love, neutral, sadness"
schreibt,2,"fear, neutral"
poesie,2,"neutral, sadness"
wär,3,"excitement, neutral, realization"
jung,2,"admiration, neutral"
dagegen,2,"disgust, neutral"
verstehst,2,"approval, neutral"
geweiht,2,"neutral, sadness"
dunkler,2,"neutral, sadness"
mangel,2,"curiosity, neutral"
zufrieden,2,"joy, neutral"
kurzem,2,"fear, neutral"
vergnügen,4,"approval, confusion, joy, neutral"
todt,2,"admiration, neutral"
dessenungeachtet,2,"admiration, neutral"
entweder,2,"neutral, realization"
schiffen,3,"admiration, fear, neutral"
flug,2,"disappointment, neutral"
wanderung,2,"fear, neutral"
acht,2,"caring, neutral"
wenige,2,"fear, neutral"
gebraucht,2,"admiration, neutral"
zwanzig,2,"admiration, neutral"
raum,2,"admiration, neutral"
unserer,3,"disappointment, love, neutral"
kostet,3,"annoyance, curiosity, neutral"
körpers,2,"joy, neutral"
hienieden,2,"joy, neutral"
zurückgelegt,2,"joy, neutral"
geschaffen,5,"admiration, amusement, annoyance, love, neutral"
frisch,3,"admiration, joy, neutral"
kuppeln,2,"admiration, neutral"
durchsichtig,3,"admiration, neutral, realization"
grade,3,"admiration, amusement, neutral"
lebten,3,"fear, joy, neutral"
verlor,4,"curiosity, disappointment, neutral, sadness"
lang,7,"admiration, embarrassment, fear, gratitude, neutral, optimism, realization"
erschraken,2,"admiration, neutral"
natürlicherweise,2,"love, neutral"
versicherte,2,"admiration, neutral"
schrecklichste,2,"fear, neutral"
blieben,3,"amusement, joy, neutral"
dünne,2,"disappointment, neutral"
strömte,3,"joy, neutral, sadness"
vertrauen,3,"caring, fear, neutral"
mindesten,2,"love, neutral"
wetter,6,"admiration, embarrassment, fear, gratitude, neutral, realization"
leisten,2,"curiosity, neutral"
voraus,2,"amusement, neutral"
geschwind,3,"caring, neutral, surprise"
hui,2,"excitement, neutral"
eher,3,"annoyance, disgust, neutral"
leuten,3,"admiration, approval, neutral"
denke,5,"admiration, annoyance, caring, neutral, optimism"
dame,5,"admiration, disgust, love, neutral, sadness"
schaden,3,"caring, fear, neutral"
solide,2,"curiosity, neutral"
schrumpfte,2,"admiration, neutral"
unterschied,2,"neutral, realization"
geistige,2,"admiration, neutral"
unwürdig,2,"admiration, neutral"
ärmliche,2,"admiration, neutral"
fleisch,2,"anger, neutral"
gemahlin,2,"joy, neutral"
thüren,2,"admiration, neutral"
versetzt,2,"joy, neutral"
jungfrau,2,"admiration, neutral"
allzu,3,"embarrassment, joy, neutral"
starke,4,"admiration, curiosity, love, neutral"
kleidern,3,"admiration, neutral, realization"
erreichte,3,"admiration, fear, neutral"
anerkennen,2,"embarrassment, neutral"
stellte,6,"amusement, curiosity, gratitude, neutral, realization, sadness"
copist,5,"admiration, embarrassment, fear, joy, neutral"
wendete,2,"fear, neutral"
naß,3,"admiration, disgust, neutral"
begegnete,2,"neutral, surprise"
glücklicher,3,"joy, neutral, sadness"
befestigt,2,"admiration, neutral"
brauchen,2,"disappointment, neutral"
sorgen,4,"admiration, caring, desire, neutral"
probiren,2,"annoyance, neutral"
gefühlt,2,"neutral, realization"
veilchen,2,"admiration, neutral"
zweig,2,"joy, neutral"
dufteten,2,"admiration, neutral"
fensterscheibe,2,"approval, neutral"
wehten,3,"admiration, amusement, neutral"
sägte,2,"admiration, neutral"
entzwei,3,"admiration, disappointment, neutral"
hingleiten,2,"amusement, neutral"
brief,2,"love, neutral"
zwang,2,"approval, neutral"
verschwand,6,"admiration, amusement, disappointment, love, neutral, surprise"
läßt,2,"fear, neutral"
flüsterte,7,"admiration, annoyance, caring, confusion, joy, love, neutral"
größe,2,"neutral, surprise"
merkwürdig,3,"admiration, disappointment, neutral"
träumen,3,"admiration, joy, neutral"
ungewöhnlich,2,"admiration, neutral"
traume,2,"anger, neutral"
besorgen,3,"fear, neutral, sadness"
sitze,2,"approval, neutral"
seiten,2,"neutral, sadness"
schnabel,2,"neutral, pride"
geschmeidigen,2,"admiration, neutral"
pfiff,3,"fear, neutral, sadness"
balg,2,"annoyance, neutral"
wanderte,2,"neutral, sadness"
nannte,4,"admiration, joy, neutral, sadness"
papchen,3,"amusement, disgust, neutral"
fügte,2,"amusement, neutral"
lachte,4,"amusement, curiosity, joy, neutral"
gratuliren,2,"excitement, neutral"
einziges,4,"admiration, annoyance, fear, neutral"
kanarienvogel,3,"annoyance, desire, neutral"
spiegelklaren,2,"admiration, neutral"
entsinnst,2,"curiosity, neutral"
hübschen,2,"amusement, neutral"
zelte,2,"admiration, neutral"
tanzten,5,"admiration, amusement, joy, love, neutral"
laßt,5,"amusement, annoyance, disapproval, disgust, neutral"
nennen,3,"admiration, neutral, realization"
vaterland,3,"disappointment, love, neutral"
lacht,2,"annoyance, neutral"
fliege,3,"admiration, love, neutral"
gehorchte,2,"love, neutral"
augenblicke,3,"amusement, neutral, sadness"
geschmeidig,2,"admiration, neutral"
funkelnden,2,"fear, neutral"
schlich,3,"fear, neutral, sadness"
tische,2,"neutral, realization"
bewahre,2,"neutral, surprise"
brachten,3,"curiosity, disgust, neutral"
nachbar,3,"annoyance, neutral, realization"
theolog,2,"approval, neutral"
gange,2,"caring, neutral"
ertönte,3,"admiration, fear, neutral"
schweiz,3,"admiration, disappointment, neutral"
schwebte,4,"admiration, disgust, neutral, sadness"
zustande,2,"neutral, optimism"
accreditiv,2,"disappointment, neutral"
fühlen,3,"caring, love, neutral"
blies,2,"grief, neutral"
italien,2,"admiration, neutral"
dunkelblauen,2,"neutral, sadness"
friedlich,2,"disappointment, neutral"
liebliche,2,"love, neutral"
irgend,2,"joy, neutral"
schlugen,2,"disgust, neutral"
bissen,2,"fear, neutral"
angeschwollen,2,"nervousness, neutral"
schaaren,2,"neutral, sadness"
thiere,2,"neutral, sadness"
sank,5,"admiration, annoyance, neutral, realization, sadness"
sommertage,2,"joy, neutral"
wolken,4,"admiration, confusion, fear, neutral"
gemälden,2,"approval, neutral"
erlebt,3,"disappointment, disapproval, neutral"
weiden,2,"disgust, neutral"
lumpen,2,"anger, neutral"
bot,2,"gratitude, neutral"
stall,3,"grief, neutral, realization"
frische,3,"admiration, neutral, surprise"
verdorrten,2,"admiration, neutral"
miserabili,3,"anger, neutral, surprise"
eccellenza,2,"neutral, surprise"
pfeffer,2,"admiration, neutral"
ausgesprochen,2,"confusion, neutral"
heimath,3,"amusement, joy, neutral"
niemanden,3,"neutral, realization, sadness"
grabe,2,"admiration, neutral"
schwerer,4,"anger, desire, neutral, sadness"
drückt,2,"curiosity, neutral"
bewegten,4,"admiration, love, neutral, realization"
todten,2,"neutral, sadness"
todesschlaf,2,"neutral, sadness"
geendet,2,"approval, neutral"
kranke,2,"joy, neutral"
milden,2,"love, neutral"
knieen,2,"love, neutral"
thränen,3,"admiration, joy, neutral"
herrlichkeiten,2,"admiration, neutral"
sarg,2,"neutral, sadness"
geliebt,3,"curiosity, neutral, realization"
bäume,6,"admiration, amusement, desire, gratitude, love, neutral"
johannes,7,"admiration, caring, gratitude, joy, love, neutral, sadness"
allezeit,2,"love, neutral"
möge,2,"desire, neutral"
grab,2,"caring, neutral"
geschmückt,5,"approval, neutral, realization, sadness, surprise"
gethan,2,"neutral, realization"
packte,2,"admiration, neutral"
erbtheil,2,"neutral, sadness"
psalm,3,"admiration, approval, neutral"
gesungen,3,"admiration, neutral, sadness"
rothen,9,"admiration, amusement, anger, approval, fear, gratitude, joy, neutral, realization"
beschattete,2,"admiration, neutral"
heuschober,2,"admiration, neutral"
felde,2,"admiration, neutral"
zündete,2,"neutral, sadness"
aufging,3,"desire, joy, neutral"
glocken,3,"admiration, joy, neutral"
prediger,2,"neutral, sadness"
kirchhofe,3,"caring, fear, neutral"
gräber,2,"anger, neutral"
schmücken,2,"annoyance, neutral"
kirchhofsthüre,2,"fear, neutral"
ermüdet,3,"admiration, excitement, neutral"
donnerte,2,"fear, neutral"
furchtsam,2,"fear, neutral"
gutes,8,"admiration, confusion, disgust, embarrassment, joy, love, neutral, realization"
gewissen,2,"disappointment, neutral"
lebende,2,"annoyance, neutral"
schlimme,2,"disgust, neutral"
uebles,2,"annoyance, neutral"
erweisen,4,"curiosity, desire, disapproval, neutral"
schnickschnack,2,"excitement, neutral"
bezahlen,2,"anger, neutral"
willst,9,"amusement, anger, approval, caring, curiosity, desire, joy, love, neutral"
leiche,2,"annoyance, neutral"
stören,2,"desire, neutral"
bösen,4,"annoyance, embarrassment, neutral, realization"
finger,4,"admiration, amusement, caring, neutral"
schaukelten,2,"admiration, neutral"
lärmen,2,"fear, neutral"
bunte,2,"amusement, neutral"
spinnen,2,"amusement, neutral"
feine,3,"admiration, amusement, neutral"
währte,2,"neutral, sadness"
eben,5,"admiration, amusement, annoyance, disappointment, neutral"
herausgekommen,2,"disapproval, neutral"
möglichen,2,"neutral, realization"
gesammelt,2,"anger, neutral"
ruthen,2,"curiosity, neutral"
wohnte,3,"admiration, curiosity, neutral"
salbe,2,"confusion, neutral"
verlange,3,"admiration, approval, neutral"
bezahlt,5,"admiration, disappointment, excitement, neutral, remorse"
angenehm,5,"amusement, disappointment, excitement, neutral, realization"
schwere,2,"disappointment, neutral"
wirtshause,3,"disappointment, joy, neutral"
komödie,4,"admiration, disappointment, neutral, sadness"
aufstand,3,"admiration, neutral, realization"
schlächter,2,"admiration, neutral"
schlanke,2,"joy, neutral"
holzpuppen,2,"admiration, neutral"
glasaugen,2,"admiration, neutral"
könnten,4,"admiration, annoyance, disappointment, neutral"
kniee,2,"gratitude, neutral"
hofleute,2,"admiration, neutral"
niedlichsten,3,"admiration, curiosity, neutral"
machten,2,"admiration, neutral"
städte,2,"admiration, neutral"
schlage,4,"anger, annoyance, approval, neutral"
wirthshause,2,"fear, neutral"
nett,2,"admiration, neutral"
rathen,2,"joy, neutral"
unterlassen,5,"admiration, desire, love, neutral, sadness"
jahres,5,"annoyance, disappointment, disapproval, joy, neutral"
ruthe,2,"approval, neutral"
ritten,2,"amusement, neutral"
kohlschwarzen,2,"admiration, neutral"
pferden,2,"anger, neutral"
purem,2,"approval, neutral"
sonnenstrahl,2,"neutral, surprise"
bestimmt,3,"excitement, neutral, realization"
pochte,2,"fear, neutral"
pantoffeln,3,"curiosity, neutral, pride"
haupte,2,"admiration, neutral"
scepter,2,"love, neutral"
apfel,2,"admiration, neutral"
erfuhr,4,"anger, fear, joy, neutral"
weinen,5,"amusement, desire, joy, neutral, sadness"
aufgegeben,2,"love, neutral"
errathen,2,"annoyance, neutral"
gerathen,2,"disappointment, neutral"
tanzte,5,"admiration, amusement, joy, neutral, sadness"
landstraße,2,"anger, neutral"
sehnte,2,"love, neutral"
herrschte,3,"fear, joy, neutral"
geschlossen,2,"neutral, sadness"
kuchenfrauen,3,"joy, neutral, surprise"
banden,2,"disgust, neutral"
priester,3,"disappointment, neutral, sadness"
kirchen,2,"admiration, neutral"
freiern,2,"gratitude, neutral"
ergangen,2,"curiosity, neutral"
getrunken,2,"joy, neutral"
stuhle,3,"annoyance, approval, neutral"
größte,6,"admiration, amusement, annoyance, fear, neutral, sadness"
stille,4,"admiration, caring, love, neutral"
leuchtenden,2,"fear, neutral"
trommel,2,"anger, neutral"
saale,2,"admiration, neutral"
woran,2,"curiosity, neutral"
stark,6,"admiration, annoyance, curiosity, gratitude, neutral, realization"
hagelwetter,2,"disapproval, neutral"
löste,3,"annoyance, love, neutral"
klatschten,3,"admiration, amusement, neutral"
könige,3,"admiration, fear, neutral"
stürmte,2,"joy, neutral"
schilfe,2,"neutral, sadness"
sturmwind,2,"anger, neutral"
bleich,3,"admiration, fear, neutral"
arg,2,"neutral, optimism"
wirbelte,3,"admiration, neutral, sadness"
ausgewesen,2,"disapproval, neutral"
gewonnen,2,"joy, neutral"
tauchte,4,"admiration, neutral, remorse, sadness"
feierlich,2,"joy, neutral"
gehe,4,"annoyance, curiosity, love, neutral"
enten,3,"disappointment, disgust, neutral"
hühnern,2,"disgust, neutral"
wein,5,"admiration, joy, love, neutral, surprise"
