Token,EmotionCount,Emotions
raten,2,"neutral, optimism"
rat,2,"love, neutral"
erwischt,2,"curiosity, neutral"
trotzdem,3,"love, neutral, surprise"
entkommen,3,"desire, fear, neutral"
woraufhin,3,"annoyance, love, neutral"
augenblicklich,3,"confusion, joy, neutral"
kalten,4,"admiration, curiosity, joy, neutral"
derweil,2,"fear, neutral"
prinzen,14,"admiration, anger, caring, curiosity, desire, disappointment, excitement, fear, joy, love, neutral, realization, sadness, surprise"
erzählt,3,"admiration, neutral, sadness"
mag,5,"approval, curiosity, disgust, joy, neutral"
bittet,4,"admiration, love, nervousness, neutral"
darum,4,"admiration, annoyance, disapproval, neutral"
alte,15,"admiration, anger, approval, disappointment, disapproval, excitement, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise"
kraft,4,"admiration, curiosity, neutral, realization"
unterdessen,2,"love, neutral"
zweiten,2,"disappointment, neutral"
schloss,7,"admiration, amusement, disapproval, joy, love, neutral, surprise"
prinzessin,20,"admiration, anger, annoyance, approval, caring, confusion, curiosity, desire, disappointment, disgust, excitement, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise"
leben,14,"admiration, approval, caring, curiosity, desire, disappointment, excitement, fear, joy, love, neutral, realization, sadness, surprise"
heraus,7,"admiration, anger, disappointment, fear, neutral, realization, sadness"
neues,3,"approval, neutral, realization"
kleid,4,"admiration, annoyance, love, neutral"
geschenk,4,"admiration, excitement, love, neutral"
sowie,4,"admiration, confusion, fear, neutral"
paar,7,"admiration, amusement, disapproval, joy, neutral, optimism, realization"
reise,3,"caring, disapproval, neutral"
jedoch,6,"admiration, amusement, annoyance, embarrassment, fear, neutral"
verliert,4,"annoyance, neutral, realization, sadness"
dafür,10,"admiration, caring, excitement, gratitude, love, neutral, optimism, realization, sadness, surprise"
deren,7,"admiration, approval, gratitude, joy, love, neutral, optimism"
dritten,2,"admiration, neutral"
räuber,3,"amusement, disapproval, neutral"
schlafen,4,"curiosity, disapproval, love, neutral"
norden,2,"admiration, neutral"
begibt,4,"caring, fear, love, neutral"
dorthin,2,"admiration, neutral"
gestoßen,2,"disgust, neutral"
begegnet,2,"neutral, realization"
einst,7,"admiration, disappointment, disgust, gratitude, love, neutral, realization"
licht,8,"admiration, annoyance, approval, joy, neutral, realization, relief, sadness"
miteinander,4,"admiration, amusement, joy, neutral"
rangen,2,"neutral, sadness"
fiel,6,"annoyance, disappointment, gratitude, joy, neutral, sadness"
danach,6,"admiration, curiosity, disgust, fear, neutral, optimism"
langsam,3,"admiration, neutral, realization"
ewig,2,"curiosity, neutral"
darin,6,"admiration, disgust, joy, love, neutral, sadness"
sobald,4,"admiration, anger, neutral, realization"
nahe,4,"caring, neutral, realization, sadness"
käme,3,"curiosity, neutral, realization"
hände,10,"admiration, anger, approval, caring, desire, disgust, gratitude, joy, neutral, sadness"
wärme,5,"admiration, amusement, joy, neutral, realization"
strömt,2,"neutral, pride"
menschen,17,"admiration, amusement, anger, annoyance, curiosity, desire, disappointment, disapproval, disgust, excitement, fear, joy, love, neutral, optimism, realization, sadness"
entführte,2,"amusement, neutral"
machte,6,"admiration, disappointment, fear, joy, neutral, sadness"
stunde,2,"neutral, sadness"
zerbricht,2,"caring, neutral"
weißen,8,"admiration, annoyance, caring, confusion, gratitude, love, neutral, sadness"
kurz,2,"grief, neutral"
darauf,8,"admiration, amusement, grief, joy, neutral, realization, sadness, surprise"
verzweifelt,3,"fear, love, neutral"
fasst,2,"caring, neutral"
hand,10,"admiration, approval, caring, confusion, disappointment, fear, love, neutral, realization, sadness"
