Emotion,Token,Frequency
neutral,umspült,1
neutral,kreisende,1
neutral,–,77
neutral,strengen,1
neutral,auge,17
neutral,meerkönigs,4
neutral,tiefsten,4
neutral,stelle,12
neutral,see,29
neutral,wilde,13
neutral,klippen,7
neutral,ragen,1
neutral,nixen,1
neutral,meeresgrund,3
neutral,jüngsten,3
neutral,töchter,2
neutral,glänzenden,5
neutral,perlen,5
neutral,murmeln,1
neutral,ältere,2
neutral,heute,7
neutral,geburtstag,12
neutral,jüngere,2
neutral,übermütige,1
neutral,perlenspiel,1
neutral,singen,12
neutral,gesellt,1
neutral,singt,5
neutral,mitternacht/läuten,1
neutral,fern/glocken,1
neutral,hochzeit./da,1
neutral,braut/,1
neutral,schneeweiß,1
neutral,meerschaum,2
neutral,kleid./denn,1
neutral,wird/heiraten,1
neutral,heut/stolz,1
neutral,naht,1
neutral,könig/sie,1
neutral,seufzt,1
neutral,kummer./ja,1
neutral,liebe,18
neutral,voller,18
neutral,trauer,4
neutral,stürmisch,1
neutral,see/da,1
neutral,bricht,5
neutral,mast/so,1
neutral,treibt,4
neutral,schiff/hilflos,1
neutral,dahin/keiner,1
neutral,retten,15
neutral,spät./unten,1
neutral,strand/wartet,1
neutral,braut/weint,1
neutral,augen,88
neutral,aus/niemals,1
neutral,wieder./ja,1
neutral,trauer.,1
neutral,schiff,38
neutral,liedes,1
neutral,meereskönig,2
neutral,zauberischen,1
neutral,allsehenden,1
neutral,ringes,1
neutral,geblickt,1
neutral,lassen,27
neutral,zerschellt,1
neutral,sinkende,1
neutral,fracht,1
neutral,gleitet,1
neutral,sanft,5
neutral,herab,10
neutral,blaue,5
neutral,haar,20
neutral,schwester,38
neutral,erste,29
neutral,wasseroberfläche,3
neutral,seejungfrau,3
neutral,verzehrt,2
neutral,berichten,2
neutral,schwestern,20
neutral,großmutter,56
neutral,befragt,2
neutral,königin,42
neutral,nordmeer,1
neutral,schwärmt,1
neutral,nordlicht,1
neutral,gelben,4
neutral,meer,49
neutral,stöhnt,1
neutral,feuer,25
neutral,krieg,1
neutral,singenden,1
neutral,fischen,3
neutral,blumen,44
neutral,schafen,1
neutral,schafhirtprinzen,1
neutral,fragt,6
neutral,nixe,15
neutral,verbleib,1
neutral,mutter,49
neutral,300,1
neutral,jahre,30
neutral,alt,16
